id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
26032155,Giant Sunny Urban Jungle 1-BR In East Village,23024846,Casey,Manhattan,East Village,40.72455,-73.98418,Entire home/apt,200,1,12,2019-05-05,1.0,1,0
35675069,Newly Renovated Apartment (47 Buffalo 1F Room #2),268358454,Devin,Brooklyn,Bedford-Stuyvesant,40.67825,-73.92346,Private room,60,1,0,,,1,171
33115218,Studio apt in the East Village,10530947,Miguel,Manhattan,East Village,40.72047,-73.97998,Entire home/apt,120,4,1,2019-03-17,0.26,1,0
19964062,Brand New Luxury 1BR 12 Mins from midtown,141540856,Dan,Queens,Astoria,40.7698,-73.92009,Entire home/apt,200,2,1,2017-11-24,0.05,1,0
19923426,Bright & Sunny Bedroom in Brooklyn,135840287,Callie,Brooklyn,Crown Heights,40.67783,-73.94209,Private room,65,1,8,2018-04-04,0.34,1,0
6732446,Sunny & Happy Room in Williamsburg,5532810,Sandy,Brooklyn,Williamsburg,40.71676,-73.9439,Private room,70,2,99,2019-06-16,2.02,2,37
18523918,Peaceful sunny flat with backyard,49562545,Ella,Brooklyn,Williamsburg,40.70999,-73.94807,Entire home/apt,235,1,57,2019-06-27,7.04,2,228
680998,Trendy Harlem Apartment in New York,3467798,Laila,Manhattan,Harlem,40.80829,-73.9426,Entire home/apt,125,21,12,2018-12-20,0.15,2,267
7716148,Whole Floor In Cobble Hill,40206276,Jon,Brooklyn,Cobble Hill,40.6881,-73.99498,Entire home/apt,145,2,4,2016-07-08,0.09,1,0
12780993,Washington Heights Studio,18111963,Patricia,Manhattan,Washington Heights,40.84205,-73.93716,Entire home/apt,75,5,0,,,1,0
30589636,Furnished 1000sq large 2bed + office in Harlem,229458601,Kay,Manhattan,Harlem,40.81315,-73.9511,Entire home/apt,3200,90,0,,,1,365
19272890,1 bedroom apt with private terrace on UWS.,134961952,Ilona,Manhattan,Upper West Side,40.7765,-73.97914,Entire home/apt,230,5,0,,,1,0
1886294,quitissential brooklyn loft,9813350,Jeremy,Brooklyn,DUMBO,40.70289,-73.98583,Entire home/apt,150,9,0,,,1,0
2185842,1BR Superbowl rental Hells Kitchen,6910298,Anna,Manhattan,Hell's Kitchen,40.76,-73.99009,Entire home/apt,850,1,0,,,1,0
14728630,Central Park Slope Garden Apartment,8066318,Declan,Brooklyn,Park Slope,40.66894,-73.98516,Entire home/apt,141,4,33,2018-11-19,0.96,1,159
30907275,Cozy Brooklyn Loft,105221828,Tk,Brooklyn,Bedford-Stuyvesant,40.68124,-73.90797,Private room,60,2,1,2019-04-21,0.38,1,0
171776,Gorgeous 1 bdrm in huge duplex!,803086,Benton,Manhattan,Harlem,40.80224,-73.94558,Private room,170,2,17,2015-10-01,0.18,2,88
5638917,Spacious and Sunny Studio Loft in Brooklyn,7503643,Vida,Brooklyn,Greenpoint,40.72751,-73.94078,Entire home/apt,129,30,5,2019-06-22,0.1,52,342
32241239,Sun drenched modern stylish 2 bedroom apt near all,241945355,Clement & Rose,Brooklyn,Flatlands,40.63129,-73.92748,Entire home/apt,165,2,5,2019-06-19,1.58,2,365
26122874,Sparkling Pad near Times Square HK -w- Full Bed,501343,Bryan,Manhattan,Hell's Kitchen,40.76361,-73.98847,Private room,155,2,3,2019-05-30,0.24,2,0
20674622,Entire Floor in 1870 Downtown Brooklyn Brownstone,33204787,Yaimara,Brooklyn,Gowanus,40.68289,-73.98532,Private room,95,2,21,2018-01-06,0.94,1,0
29051841,Amazing Penthouse,213781715,Anting,Brooklyn,Greenpoint,40.73079,-73.95193,Entire home/apt,350,1,1,2018-11-10,0.12,33,0
20686134,Hideaway Studio,14469743,Brian,Bronx,Pelham Bay,40.84711,-73.83039,Entire home/apt,80,2,66,2019-06-19,3.04,1,56
34182096,Architecturally Designed East Village Oasis,18327084,Sheelagh,Manhattan,East Village,40.72495,-73.97679,Entire home/apt,240,4,0,,,1,83
2305890,Midwood Aerie - Bright  & Private!,11778114,Jake,Brooklyn,Flatbush,40.63449,-73.95742,Entire home/apt,140,1,141,2019-07-01,2.41,1,307
22387499,Peaceful Garden Apartment in Architect's Townhouse,68554866,Andrea & James,Brooklyn,Bushwick,40.68481,-73.90713,Entire home/apt,125,3,27,2019-07-03,2.77,1,41
31580460,Cheery West Village 1BR w/ Washer + Dryer by Blueground,107434423,Blueground,Manhattan,West Village,40.73588,-74.00474,Entire home/apt,236,30,0,,,232,273
257568,Zen Den (Airport Pickup: JFK & LGA),1123923,Adolfo,Brooklyn,Cypress Hills,40.67855,-73.8896,Private room,48,90,53,2017-08-12,0.57,2,1
24077483,Heaven in Hell’s Kitchen,116482644,Yaniv,Manhattan,Hell's Kitchen,40.76499,-73.98888,Private room,110,1,67,2019-04-08,4.51,2,0
27901243,Sunny 3rd floor huge Master Bedroom,78379915,Joanne,Brooklyn,Bedford-Stuyvesant,40.68392,-73.95265,Private room,40,30,1,2019-05-25,0.65,1,282
8498323,Great UES location for Pope visit,44751629,Jeffrey,Manhattan,Upper East Side,40.77532,-73.95132,Entire home/apt,650,2,0,,,1,0
5936796,Room-Convenient UES Near everything,30824695,Idamil,Manhattan,Upper East Side,40.7817,-73.94613,Private room,85,3,3,2017-08-16,0.09,1,0
10068693,Cozy Mozy apt in Cobble Hill,16591072,Marianna,Brooklyn,Boerum Hill,40.68869,-73.98899,Entire home/apt,168,1,1,2016-01-05,0.02,1,0
20757519,Sofa bed in bright & beautiful apt (with rooftop),42154911,Hannah,Manhattan,Harlem,40.82992,-73.94563,Shared room,60,2,1,2017-09-03,0.04,2,0
20440249,Sunset Park Brownstone Apartment with Backyard,31031279,Chelsea,Brooklyn,Sunset Park,40.6494,-74.00967,Entire home/apt,72,3,1,2017-09-01,0.04,1,21
33490968,2BR High Ceiling Zen Sanctuary in Artsy Bushwick,234270791,April G,Brooklyn,Bushwick,40.69627,-73.93076,Private room,100,5,2,2019-05-27,0.7,3,94
16300514,Cozy 1 Bedroom Escape,68714722,Jessica,Manhattan,Upper East Side,40.77704,-73.94442,Entire home/apt,166,2,4,2018-12-28,0.49,1,0
